X 0x107c27700 0x107c27849 1129177.739805000
X 0x107c27810 0x107c27676 1129177.739805000
E 0x107c273d0 0x107c27641 1129177.739806000
X 0x107c273d0 0x107c27641 1129177.739806000
E 0x107c27350 0x107c2764d 1129177.739806000
X 0x107c27350 0x107c2764d 1129177.739807000
E 0x107c27810 0x107c27676 1129177.739807000
E 0x107c27700 0x107c27849 1129177.739808000
X 0x107c27700 0x107c27849 1129177.739819000
X 0x107c27810 0x107c27676 1129177.739819000
E 0x107c273d0 0x107c27641 1129177.739820000
X 0x107c273d0 0x107c27641 1129177.739820000
E 0x107c27350 0x107c2764d 1129177.739821000
X 0x107c27350 0x107c2764d 1129177.739821000
E 0x107c27810 0x107c27676 1129177.739821000
E 0x107c27700 0x107c27849 1129177.739822000
X 0x107c27700 0x107c27849 1129177.739822000
X 0x107c27810 0x107c27676 1129177.739823000
E 0x107c273d0 0x107c27641 1129177.739823000
X 0x107c273d0 0x107c27641 1129177.739824000
E 0x107c27350 0x107c2764d 1129177.739824000
X 0x107c27350 0x107c2764d 1129177.739824000
E 0x107c27810 0x107c27676 1129177.739825000
E 0x107c27700 0x107c27849 1129177.739825000
X 0x107c27700 0x107c27849 1129177.739826000
X 0x107c27810 0x107c27676 1129177.739826000
E 0x107c273d0 0x107c27641 1129177.739826000
X 0x107c273d0 0x107c27641 1129177.739827000
E 0x107c27350 0x107c2764d 1129177.739827000
X 0x107c27350 0x107c2764d 1129177.739828000
E 0x107c27810 0x107c27676 1129177.739828000
E 0x107c27700 0x107c27849 1129177.739828000
X 0x107c27700 0x107c27849 1129177.739829000
X 0x107c27810 0x107c27676 1129177.739829000
E 0x107c273d0 0x107c27641 1129177.739830000
X 0x107c273d0 0x107c27641 1129177.739830000
E 0x107c27350 0x107c2764d 1129177.739831000
X 0x107c27350 0x107c2764d 1129177.739831000
E 0x107c27810 0x107c27676 1129177.739831000
E 0x107c27700 0x107c27849 1129177.739832000
X 0x107c27700 0x107c27849 1129177.739832000
X 0x107c27810 0x107c27676 1129177.739832000
E 0x107c273d0 0x107c27641 1129177.739833000
X 0x107c273d0 0x107c27641 1129177.739833000
E 0x107c27350 0x107c2764d 1129177.739834000
X 0x107c27350 0x107c2764d 1129177.739834000
E 0x107c27810 0x107c27676 1129177.739835000
E 0x107c27700 0x107c27849 1129177.739835000
X 0x107c27700 0x107c27849 1129177.739835000
X 0x107c27810 0x107c27676 1129177.739836000
E 0x107c273d0 0x107c27641 1129177.739836000
X 0x107c273d0 0x107c27641 1129177.739837000
E 0x107c27350 0x107c2764d 1129177.739837000
X 0x107c27350 0x107c2764d 1129177.739838000
E 0x107c27810 0x107c27676 1129177.739838000
E 0x107c27700 0x107c27849 1129177.739838000
X 0x107c27700 0x107c27849 1129177.739839000
X 0x107c27810 0x107c27676 1129177.739839000
E 0x107c273d0 0x107c27641 1129177.739840000
X 0x107c273d0 0x107c27641 1129177.739840000
E 0x107c27350 0x107c2764d 1129177.739840000
X 0x107c27350 0x107c2764d 1129177.739841000
E 0x107c27810 0x107c27676 1129177.739841000
E 0x107c27700 0x107c27849 1129177.739842000
X 0x107c27700 0x107c27849 1129177.739842000
X 0x107c27810 0x107c27676 1129177.739842000
E 0x107c273d0 0x107c27641 1129177.739843000
X 0x107c273d0 0x107c27641 1129177.739843000
E 0x107c27350 0x107c2764d 1129177.739844000
X 0x107c27350 0x107c2764d 1129177.739844000
E 0x107c27810 0x107c27676 1129177.739844000
E 0x107c27700 0x107c27849 1129177.739845000
X 0x107c27700 0x107c27849 1129177.739845000
X 0x107c27810 0x107c27676 1129177.739846000
E 0x107c273d0 0x107c27641 1129177.739846000
X 0x107c273d0 0x107c27641 1129177.739847000
E 0x107c27350 0x107c2764d 1129177.739847000
X 0x107c27350 0x107c2764d 1129177.739847000
E 0x107c27810 0x107c27676 1129177.739848000
E 0x107c27700 0x107c27849 1129177.739848000
X 0x107c27700 0x107c27849 1129177.739849000
X 0x107c27810 0x107c27676 1129177.739849000
E 0x107c273d0 0x107c27641 1129177.739850000
X 0x107c273d0 0x107c27641 1129177.739850000
E 0x107c27350 0x107c2764d 1129177.739850000
X 0x107c27350 0x107c2764d 1129177.739851000
E 0x107c27810 0x107c27676 1129177.739851000
E 0x107c27700 0x107c27849 1129177.739852000
X 0x107c27700 0x107c27849 1129177.739852000
X 0x107c27810 0x107c27676 1129177.739852000
E 0x107c273d0 0x107c27641 1129177.739853000
X 0x107c273d0 0x107c27641 1129177.739853000
E 0x107c27350 0x107c2764d 1129177.739854000
X 0x107c27350 0x107c2764d 1129177.739854000
E 0x107c27810 0x107c27676 1129177.739854000
E 0x107c27700 0x107c27849 1129177.739855000
X 0x107c27700 0x107c27849 1129177.739855000
X 0x107c27810 0x107c27676 1129177.739855000
E 0x107c273d0 0x107c27641 1129177.739856000
X 0x107c273d0 0x107c27641 1129177.739856000
E 0x107c27350 0x107c2764d 1129177.739857000
X 0x107c27350 0x107c2764d 1129177.739868000
E 0x107c27810 0x107c27676 1129177.739868000
E 0x107c27700 0x107c27849 1129177.739869000
X 0x107c27700 0x107c27849 1129177.739869000
X 0x107c27810 0x107c27676 1129177.739870000
E 0x107c273d0 0x107c27641 1129177.739870000
X 0x107c273d0 0x107c27641 1129177.739871000
E 0x107c27350 0x107c2764d 1129177.739871000
X 0x107c27350 0x107c2764d 1129177.739871000
E 0x107c27810 0x107c27676 1129177.739872000
E 0x107c27700 0x107c27849 1129177.739872000
X 0x107c27700 0x107c27849 1129177.739873000
